Path,Machine_Type,Dataset,Status,Machine_ID,Sample_ID,nb_echantillon,freq_echantillonnage
Data\fan\test\anomaly_id_00_00000000.wav,fan,test,anomaly,00,00000000,160000,16000
Data\fan\test\anomaly_id_00_00000001.wav,fan,test,anomaly,00,00000001,160000,16000
Data\fan\test\anomaly_id_00_00000002.wav,fan,test,anomaly,00,00000002,160000,16000
Data\fan\test\anomaly_id_00_00000003.wav,fan,test,anomaly,00,00000003,160000,16000
Data\fan\test\anomaly_id_00_00000004.wav,fan,test,anomaly,00,00000004,160000,16000
Data\fan\test\anomaly_id_00_00000005.wav,fan,test,anomaly,00,00000005,160000,16000
Data\fan\test\anomaly_id_00_00000006.wav,fan,test,anomaly,00,00000006,160000,16000
Data\fan\test\anomaly_id_00_00000007.wav,fan,test,anomaly,00,00000007,160000,16000
Data\fan\test\anomaly_id_00_00000008.wav,fan,test,anomaly,00,00000008,160000,16000
Data\fan\test\anomaly_id_00_00000009.wav,fan,test,anomaly,00,00000009,160000,16000
Data\fan\test\anomaly_id_00_00000010.wav,fan,test,anomaly,00,00000010,160000,16000
Data\fan\test\anomaly_id_00_00000011.wav,fan,test,anomaly,00,00000011,160000,16000
Data\fan\test\anomaly_id_00_00000012.wav,fan,test,anomaly,00,00000012,160000,16000
Data\fan\test\anomaly_id_00_00000013.wav,fan,test,anomaly,00,00000013,160000,16000
Data\fan\test\anomaly_id_00_00000014.wav,fan,test,anomaly,00,00000014,160000,16000
Data\fan\test\anomaly_id_00_00000015.wav,fan,test,anomaly,00,00000015,160000,16000
Data\fan\test\anomaly_id_00_00000016.wav,fan,test,anomaly,00,00000016,160000,16000
Data\fan\test\anomaly_id_00_00000017.wav,fan,test,anomaly,00,00000017,160000,16000
Data\fan\test\anomaly_id_00_00000018.wav,fan,test,anomaly,00,00000018,160000,16000
Data\fan\test\anomaly_id_00_00000019.wav,fan,test,anomaly,00,00000019,160000,16000
Data\fan\test\anomaly_id_00_00000020.wav,fan,test,anomaly,00,00000020,160000,16000
Data\fan\test\anomaly_id_00_00000021.wav,fan,test,anomaly,00,00000021,160000,16000
Data\fan\test\anomaly_id_00_00000022.wav,fan,test,anomaly,00,00000022,160000,16000
Data\fan\test\anomaly_id_00_00000023.wav,fan,test,anomaly,00,00000023,160000,16000
Data\fan\test\anomaly_id_00_00000024.wav,fan,test,anomaly,00,00000024,160000,16000
Data\fan\test\anomaly_id_00_00000025.wav,fan,test,anomaly,00,00000025,160000,16000
Data\fan\test\anomaly_id_00_00000026.wav,fan,test,anomaly,00,00000026,160000,16000
Data\fan\test\anomaly_id_00_00000027.wav,fan,test,anomaly,00,00000027,160000,16000
Data\fan\test\anomaly_id_00_00000028.wav,fan,test,anomaly,00,00000028,160000,16000
Data\fan\test\anomaly_id_00_00000029.wav,fan,test,anomaly,00,00000029,160000,16000
Data\fan\test\anomaly_id_00_00000030.wav,fan,test,anomaly,00,00000030,160000,16000
Data\fan\test\anomaly_id_00_00000031.wav,fan,test,anomaly,00,00000031,160000,16000
Data\fan\test\anomaly_id_00_00000032.wav,fan,test,anomaly,00,00000032,160000,16000
Data\fan\test\anomaly_id_00_00000033.wav,fan,test,anomaly,00,00000033,160000,16000
Data\fan\test\anomaly_id_00_00000034.wav,fan,test,anomaly,00,00000034,160000,16000
Data\fan\test\anomaly_id_00_00000035.wav,fan,test,anomaly,00,00000035,160000,16000
Data\fan\test\anomaly_id_00_00000036.wav,fan,test,anomaly,00,00000036,160000,16000
Data\fan\test\anomaly_id_00_00000037.wav,fan,test,anomaly,00,00000037,160000,16000
Data\fan\test\anomaly_id_00_00000038.wav,fan,test,anomaly,00,00000038,160000,16000
Data\fan\test\anomaly_id_00_00000039.wav,fan,test,anomaly,00,00000039,160000,16000
Data\fan\test\anomaly_id_00_00000040.wav,fan,test,anomaly,00,00000040,160000,16000
Data\fan\test\anomaly_id_00_00000041.wav,fan,test,anomaly,00,00000041,160000,16000
Data\fan\test\anomaly_id_00_00000042.wav,fan,test,anomaly,00,00000042,160000,16000
Data\fan\test\anomaly_id_00_00000043.wav,fan,test,anomaly,00,00000043,160000,16000
Data\fan\test\anomaly_id_00_00000044.wav,fan,test,anomaly,00,00000044,160000,16000
Data\fan\test\anomaly_id_00_00000045.wav,fan,test,anomaly,00,00000045,160000,16000
Data\fan\test\anomaly_id_00_00000046.wav,fan,test,anomaly,00,00000046,160000,16000
Data\fan\test\anomaly_id_00_00000047.wav,fan,test,anomaly,00,00000047,160000,16000
Data\fan\test\anomaly_id_00_00000048.wav,fan,test,anomaly,00,00000048,160000,16000
Data\fan\test\anomaly_id_00_00000049.wav,fan,test,anomaly,00,00000049,160000,16000
Data\fan\test\anomaly_id_00_00000050.wav,fan,test,anomaly,00,00000050,160000,16000
Data\fan\test\anomaly_id_00_00000051.wav,fan,test,anomaly,00,00000051,160000,16000
Data\fan\test\anomaly_id_00_00000052.wav,fan,test,anomaly,00,00000052,160000,16000
Data\fan\test\anomaly_id_00_00000053.wav,fan,test,anomaly,00,00000053,160000,16000
Data\fan\test\anomaly_id_00_00000054.wav,fan,test,anomaly,00,00000054,160000,16000
Data\fan\test\anomaly_id_00_00000055.wav,fan,test,anomaly,00,00000055,160000,16000
Data\fan\test\anomaly_id_00_00000056.wav,fan,test,anomaly,00,00000056,160000,16000
Data\fan\test\anomaly_id_00_00000057.wav,fan,test,anomaly,00,00000057,160000,16000
Data\fan\test\anomaly_id_00_00000058.wav,fan,test,anomaly,00,00000058,160000,16000
Data\fan\test\anomaly_id_00_00000059.wav,fan,test,anomaly,00,00000059,160000,16000
Data\fan\test\anomaly_id_00_00000060.wav,fan,test,anomaly,00,00000060,160000,16000
Data\fan\test\anomaly_id_00_00000061.wav,fan,test,anomaly,00,00000061,160000,16000
Data\fan\test\anomaly_id_00_00000062.wav,fan,test,anomaly,00,00000062,160000,16000
Data\fan\test\anomaly_id_00_00000063.wav,fan,test,anomaly,00,00000063,160000,16000
Data\fan\test\anomaly_id_00_00000064.wav,fan,test,anomaly,00,00000064,160000,16000
Data\fan\test\anomaly_id_00_00000065.wav,fan,test,anomaly,00,00000065,160000,16000
Data\fan\test\anomaly_id_00_00000066.wav,fan,test,anomaly,00,00000066,160000,16000
Data\fan\test\anomaly_id_00_00000067.wav,fan,test,anomaly,00,00000067,160000,16000
Data\fan\test\anomaly_id_00_00000068.wav,fan,test,anomaly,00,00000068,160000,16000
Data\fan\test\anomaly_id_00_00000069.wav,fan,test,anomaly,00,00000069,160000,16000
Data\fan\test\anomaly_id_00_00000070.wav,fan,test,anomaly,00,00000070,160000,16000
Data\fan\test\anomaly_id_00_00000071.wav,fan,test,anomaly,00,00000071,160000,16000
Data\fan\test\anomaly_id_00_00000072.wav,fan,test,anomaly,00,00000072,160000,16000
Data\fan\test\anomaly_id_00_00000073.wav,fan,test,anomaly,00,00000073,160000,16000
Data\fan\test\anomaly_id_00_00000074.wav,fan,test,anomaly,00,00000074,160000,16000
Data\fan\test\anomaly_id_00_00000075.wav,fan,test,anomaly,00,00000075,160000,16000
Data\fan\test\anomaly_id_00_00000076.wav,fan,test,anomaly,00,00000076,160000,16000
Data\fan\test\anomaly_id_00_00000077.wav,fan,test,anomaly,00,00000077,160000,16000
Data\fan\test\anomaly_id_00_00000078.wav,fan,test,anomaly,00,00000078,160000,16000
Data\fan\test\anomaly_id_00_00000079.wav,fan,test,anomaly,00,00000079,160000,16000
Data\fan\test\anomaly_id_00_00000080.wav,fan,test,anomaly,00,00000080,160000,16000
Data\fan\test\anomaly_id_00_00000081.wav,fan,test,anomaly,00,00000081,160000,16000
Data\fan\test\anomaly_id_00_00000082.wav,fan,test,anomaly,00,00000082,160000,16000
Data\fan\test\anomaly_id_00_00000083.wav,fan,test,anomaly,00,00000083,160000,16000
Data\fan\test\anomaly_id_00_00000084.wav,fan,test,anomaly,00,00000084,160000,16000
Data\fan\test\anomaly_id_00_00000085.wav,fan,test,anomaly,00,00000085,160000,16000
Data\fan\test\anomaly_id_00_00000086.wav,fan,test,anomaly,00,00000086,160000,16000
Data\fan\test\anomaly_id_00_00000087.wav,fan,test,anomaly,00,00000087,160000,16000
Data\fan\test\anomaly_id_00_00000088.wav,fan,test,anomaly,00,00000088,160000,16000
Data\fan\test\anomaly_id_00_00000089.wav,fan,test,anomaly,00,00000089,160000,16000
Data\fan\test\anomaly_id_00_00000090.wav,fan,test,anomaly,00,00000090,160000,16000
Data\fan\test\anomaly_id_00_00000091.wav,fan,test,anomaly,00,00000091,160000,16000
Data\fan\test\anomaly_id_00_00000092.wav,fan,test,anomaly,00,00000092,160000,16000
Data\fan\test\anomaly_id_00_00000093.wav,fan,test,anomaly,00,00000093,160000,16000
Data\fan\test\anomaly_id_00_00000094.wav,fan,test,anomaly,00,00000094,160000,16000
Data\fan\test\anomaly_id_00_00000095.wav,fan,test,anomaly,00,00000095,160000,16000
Data\fan\test\anomaly_id_00_00000096.wav,fan,test,anomaly,00,00000096,160000,16000
Data\fan\test\anomaly_id_00_00000097.wav,fan,test,anomaly,00,00000097,160000,16000
Data\fan\test\anomaly_id_00_00000098.wav,fan,test,anomaly,00,00000098,160000,16000
Data\fan\test\anomaly_id_00_00000099.wav,fan,test,anomaly,00,00000099,160000,16000
Data\fan\test\anomaly_id_00_00000100.wav,fan,test,anomaly,00,00000100,160000,16000
Data\fan\test\anomaly_id_00_00000101.wav,fan,test,anomaly,00,00000101,160000,16000
Data\fan\test\anomaly_id_00_00000102.wav,fan,test,anomaly,00,00000102,160000,16000
Data\fan\test\anomaly_id_00_00000103.wav,fan,test,anomaly,00,00000103,160000,16000
Data\fan\test\anomaly_id_00_00000104.wav,fan,test,anomaly,00,00000104,160000,16000
Data\fan\test\anomaly_id_00_00000105.wav,fan,test,anomaly,00,00000105,160000,16000
Data\fan\test\anomaly_id_00_00000106.wav,fan,test,anomaly,00,00000106,160000,16000
Data\fan\test\anomaly_id_00_00000107.wav,fan,test,anomaly,00,00000107,160000,16000
Data\fan\test\anomaly_id_00_00000108.wav,fan,test,anomaly,00,00000108,160000,16000
Data\fan\test\anomaly_id_00_00000109.wav,fan,test,anomaly,00,00000109,160000,16000
Data\fan\test\anomaly_id_00_00000110.wav,fan,test,anomaly,00,00000110,160000,16000
Data\fan\test\anomaly_id_00_00000111.wav,fan,test,anomaly,00,00000111,160000,16000
Data\fan\test\anomaly_id_00_00000112.wav,fan,test,anomaly,00,00000112,160000,16000
Data\fan\test\anomaly_id_00_00000113.wav,fan,test,anomaly,00,00000113,160000,16000
Data\fan\test\anomaly_id_00_00000114.wav,fan,test,anomaly,00,00000114,160000,16000
Data\fan\test\anomaly_id_00_00000115.wav,fan,test,anomaly,00,00000115,160000,16000
Data\fan\test\anomaly_id_00_00000116.wav,fan,test,anomaly,00,00000116,160000,16000
Data\fan\test\anomaly_id_00_00000117.wav,fan,test,anomaly,00,00000117,160000,16000
Data\fan\test\anomaly_id_00_00000118.wav,fan,test,anomaly,00,00000118,160000,16000
Data\fan\test\anomaly_id_00_00000119.wav,fan,test,anomaly,00,00000119,160000,16000
Data\fan\test\anomaly_id_00_00000120.wav,fan,test,anomaly,00,00000120,160000,16000
Data\fan\test\anomaly_id_00_00000121.wav,fan,test,anomaly,00,00000121,160000,16000
Data\fan\test\anomaly_id_00_00000122.wav,fan,test,anomaly,00,00000122,160000,16000
Data\fan\test\anomaly_id_00_00000123.wav,fan,test,anomaly,00,00000123,160000,16000
Data\fan\test\anomaly_id_00_00000124.wav,fan,test,anomaly,00,00000124,160000,16000
Data\fan\test\anomaly_id_00_00000125.wav,fan,test,anomaly,00,00000125,160000,16000
Data\fan\test\anomaly_id_00_00000126.wav,fan,test,anomaly,00,00000126,160000,16000
Data\fan\test\anomaly_id_00_00000127.wav,fan,test,anomaly,00,00000127,160000,16000
Data\fan\test\anomaly_id_00_00000128.wav,fan,test,anomaly,00,00000128,160000,16000
Data\fan\test\anomaly_id_00_00000129.wav,fan,test,anomaly,00,00000129,160000,16000
Data\fan\test\anomaly_id_00_00000130.wav,fan,test,anomaly,00,00000130,160000,16000
Data\fan\test\anomaly_id_00_00000131.wav,fan,test,anomaly,00,00000131,160000,16000
Data\fan\test\anomaly_id_00_00000132.wav,fan,test,anomaly,00,00000132,160000,16000
Data\fan\test\anomaly_id_00_00000133.wav,fan,test,anomaly,00,00000133,160000,16000
Data\fan\test\anomaly_id_00_00000134.wav,fan,test,anomaly,00,00000134,160000,16000
